# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5.3

191::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
204::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
235::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
248::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
307::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
312::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
322::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
329::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
352::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
363::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
421::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
485::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
556::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
565::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
571::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
588::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
690::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
713::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
769::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
788::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
840::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
915::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
921::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B5B27BCAA80207CE0B6D6F73745369674269747304441E11DF4F933E5F
969::player, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
bank::0f98bb32359715, long, 00000000000003E8
bank::3rdbaseman4, long, 00000000000003E8
bank::4e3e1ba9eed6eb, long, 00000000000003E8
bank::7b54ddf03d3246, long, 00000000000003E8
bank::391dedc91c0e95, long, 00000000000003E8
bank::996f499f3231ca, long, 00000000000003E8
bank::53261db47a00c9, long, 00000000000003E8
bank::570860d2c0ecfb, long, 00000000000003E8
bank::7402495b09c43c, long, 00000000000003E8
bank::_fife_, long, 00000000000003E8
bank::a06c4b204b1473, long, 00000000000003E8
bank::aa873717314440, long, 00000000000003E8
bank::adamzetti, long, 00000000000003E8
bank::alexyanis, double, 4091300000000000
bank::antite303, double, 4069000000000000
bank::awesomeguy911, long, 00000000000003E8
bank::bandrew97, long, 00000000000003E8
bank::bigmucho, long, 00000000000003E8
bank::blake11120, long, 00000000000003E8
bank::casperbypass2233, long, 00000000000003E8
bank::casperbypass, double, 4069000000000000
bank::caspere, double, 40DBBC0000000000
bank::cfurn5, long, 00000000000003E8
bank::chest::location::1, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDD01790300000037017A030000010C
bank::d22a75ec43a846, long, 00000000000003E8
bank::daimond84, long, 00000000000003E8
bank::darcos_doc, double, 4094500000000000
bank::door::location::1, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000039017A0300000108
bank::door::location::2, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000039017A0300000107
bank::door::location::3, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000039017A0300000106
bank::door::location::4, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000038017A0300000108
bank::door::location::5, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000038017A0300000107
bank::door::location::6, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000038017A0300000106
bank::door::location::7, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000037017A0300000108
bank::door::location::8, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000037017A0300000107
bank::door::location::9, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000037017A0300000106
bank::duketop, long, 00000000000003E8
bank::e5d05b602d52da, long, 00000000000003E8
bank::el_gordo_uno, long, 00000000000003E8
bank::enzo685, long, 00000000000003E8
bank::erikus6, long, 00000000000003E8
bank::exao_, double, 431C6BF5263392A0
bank::faketruth, long, 00000000000003E8
bank::fpsskiller, long, 00000000000003E8
bank::frenchy1, long, 00000000000003E8
bank::frodew, long, 00000000000003E8
bank::giowsa, double, 40B1C60000000000
bank::godfather5866, long, 00000000000003E8
bank::greek2me, long, 00000000000003E8
bank::halodude24, long, 00000000000003E8
bank::hudsonhull, long, 00000000000003E8
bank::imfentanyl, double, 4094500000000000
bank::jake70, long, 00000000000003E8
bank::kevinetlucas, double, 407F400000000000
bank::kindaspacey, long, 00000000000003E8
bank::ldsflame, long, 00000000000003E8
bank::location::1, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000039017A0300000108
bank::location::2, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000039017A0300000107
bank::location::3, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000039017A0300000106
bank::location::4, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000038017A0300000108
bank::location::5, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000038017A0300000107
bank::location::6, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000038017A0300000106
bank::location::7, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000037017A0300000108
bank::location::8, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000037017A0300000107
bank::location::9, block, 8405776F726C6480FF0000000181046E616D652080076265656C696665017803FFFFFBDE01790300000037017A0300000106
bank::lokthar328i, long, 00000000000003E8
bank::lovegunner, long, 00000000000003E8
bank::luissrs, double, 40DE910000000000
bank::miner49burr, long, 00000000000003E8
bank::mineteub, double, 4091300000000000
bank::nacho30, long, 00000000000003E8
bank::nobrain98, long, 00000000000003E8
bank::nonite07, double, 40A0680000000000
bank::nosnarbo, long, 00000000000003E8
bank::noumaa, double, 41A7D78400000000
bank::ovhbypass, long, 00000000000003E8
bank::plgxdark, long, 00000000000003E8
bank::poskitch2, double, 40BCE80000000000
bank::poskitch, double, 41019E0000000000
bank::pugsy, long, 00000000000003E8
bank::r_ninja14, long, 00000000000003E8
bank::roan974, double, 40AC200000000000
bank::robberbandit, long, 00000000000003E8
bank::sannamwoot, long, 00000000000003E8
bank::silvershadefox, long, 00000000000003E8
bank::soaked__, double, 41CDCD50F8800000
bank::spas13, double, 42D6BCC41EB17F00
bank::spas48, long, 00000000000003E8
bank::sunshine3_14, long, 00000000000003E8
bank::supermedinita, long, 00000000000003E8
bank::terofar, long, 0000000000000000
bank::theimightypotato, long, 00000000000003E8
bank::thesedg, long, 00000000000003E8
bank::thewindoxi, double, 4091300000000000
bank::thunder_dragon, long, 00000000000003E8
bank::titra, long, 00000000000003E8
bank::twinnstars, long, 00000000000003E8
bank::wheresmygreentea, long, 00000000000003E8
bank::zach122167, long, 00000000000003E8
bankcooldown::caspere, date, 810974696D657374616D70040000017869A00446
bmissions::1::1, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809406BD000000000000179094030800000000000017A094074E800000000000570697463680800000000037961770800000000
bmissions::1::2, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809405B6000000000000179094016000000000000017A09406DB000000000000570697463680800000000037961770800000000
bmissions::1::3, location, 8605776F726C6480FF0000000181046E616D652080076265656C69666501780940613000000000000179094016000000000000017A0940651000000000000570697463680800000000037961770800000000
bmissions::2::1, location, 8605776F726C6480FF0000000181046E616D652080076265656C69666501780940464000000000000179094016000000000000017A0940725800000000000570697463680800000000037961770800000000
bmissions::2::2, location, 8605776F726C6480FF0000000181046E616D652080076265656C69666501780940709800000000000179094047C00000000000017A09407E1800000000000570697463680800000000037961770800000000
bmissions::2::3, location, 8605776F726C6480FF0000000181046E616D652080076265656C69666501780940764800000000000179094030800000000000017A0940757800000000000570697463680800000000037961770800000000
bmissions::all::1, string, 800131
bmissions::all::2, string, 800132
candidatevote::nonite07, long, 0000000000000000
character::_fife_::1, string, 80044A65616E
character::_fife_::2, string, 800445756465
character::alexyanis::1, string, 8004616C6578
character::alexyanis::2, string, 800579616E6973
character::antite303::1, string, 80086B616B6569726965
character::antite303::2, string, 80036B656E
character::casperbypass2233::1, string, 80026363
character::casperbypass2233::2, string, 80026363
character::casperbypass::1, string, 80024363
character::casperbypass::2, string, 80026363
character::caspere::1, string, 80044A6F686E
character::caspere::2, string, 80075374616C6C6579
character::darcos_doc::1, string, 800355676F
character::darcos_doc::2, string, 80074252414E415244
character::enzo685::1, string, 8004656E7A6F
character::enzo685::2, string, 800473636170
character::exao_::1, string, 800353616D
character::exao_::2, string, 80064272616E646F
character::giowsa::1, string, 800847696F76616E6E69
character::giowsa::2, string, 8007436F7273696E69
character::imfentanyl::1, string, 800757696C6C69616D
character::imfentanyl::2, string, 8005536D697468
character::kevinetlucas::1, string, 80034C7563
character::kevinetlucas::2, string, 80054E6FC3AB6C
character::luissrs::1, string, 80046C756973
character::luissrs::2, string, 8006736F61726573
character::mineteub::1, string, 80054B6172696D
character::mineteub::2, string, 8009416264656C736C616D
character::nonite07::1, string, 80064E6F6E697465
character::nonite07::2, string, 80023037
character::noumaa::1, string, 8003447371
character::noumaa::2, string, 8003447371
character::ovhbypass::1, string, 800757696C6C69616D
character::ovhbypass::2, string, 8005536D697468
character::poskitch2::1, string, 80045061756C
character::poskitch2::2, string, 80054B6F756261
character::poskitch::1, string, 80044A6F686E
character::poskitch::2, string, 80075374616C6C6579
character::roan974::1, string, 80046A65616E
character::roan974::2, string, 80066C65706F6E74
character::soaked__::1, string, 800354696D
character::soaked__::2, string, 8005447572616E
character::spas13::1, string, 80024363
character::spas13::2, string, 800442657568
character::spas48::1, string, 80044A61636B
character::spas48::2, string, 80064475626F6973
character::thewindoxi::1, string, 80064361726C6F73
character::thewindoxi::2, string, 80074D657269796861
character.lastchanged::_fife_, date, 810974696D657374616D7004000001786AFE17ED
character.lastchanged::alexyanis, date, 810974696D657374616D7004000001782BC9AA60
character.lastchanged::antite303, date, 810974696D657374616D7004000001780D3F775F
character.lastchanged::casperbypass2233, date, 810974696D657374616D7004000001783D70D9AA
character.lastchanged::casperbypass, date, 810974696D657374616D7004000001782E1E58FB
character.lastchanged::caspere, date, 810974696D657374616D7004000001785C65F787
character.lastchanged::darcos_doc, date, 810974696D657374616D7004000001782C243256
character.lastchanged::enzo685, date, 810974696D657374616D7004000001782B1C7A70
character.lastchanged::exao_, date, 810974696D657374616D7004000001786AFD41DD
character.lastchanged::giowsa, date, 810974696D657374616D70040000017803EFC975
character.lastchanged::imfentanyl, date, 810974696D657374616D7004000001782D82A2DF
character.lastchanged::kevinetlucas, date, 810974696D657374616D700400000177E9E580AF
character.lastchanged::luissrs, date, 810974696D657374616D7004000001781BD177D6
character.lastchanged::mineteub, date, 810974696D657374616D7004000001784CB53B8F
character.lastchanged::nonite07, date, 810974696D657374616D7004000001786658FB48
character.lastchanged::noumaa, date, 810974696D657374616D7004000001785C65B745
character.lastchanged::ovhbypass, date, 810974696D657374616D70040000017821371AE3
character.lastchanged::poskitch2, date, 810974696D657374616D700400000177EA0DCC2B
character.lastchanged::poskitch, date, 810974696D657374616D700400000177E9DCC587
character.lastchanged::roan974, date, 810974696D657374616D7004000001782BF10FE7
character.lastchanged::soaked__, date, 810974696D657374616D70040000017808646CA4
character.lastchanged::spas13, date, 810974696D657374616D7004000001785C65F39F
character.lastchanged::spas48, date, 810974696D657374616D70040000017864E8ABD2
character.lastchanged::thewindoxi, date, 810974696D657374616D7004000001786A41AB95
code::d6u8, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A32C0944D1B5F1C60B6D6F737453696742697473041086E598A6263484
code::hu8g, offlineplayer, 810475756964800455554944820C6C656173745369674269747304931C6C4771EA30CD0B6D6F73745369674269747304F41D20C9884F3C52
