# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5.3

, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809C01A0000000000000179094012000000000000017A09406AD000000000000570697463680800000000037961770800000000
bank::poskitch2, double, 40AF400000000000
bank::poskitch, double, 41035C4000000000
character::kevinetlucas::1, string, 80034C7563
character::kevinetlucas::2, string, 80054E6FC3AB6C
character::poskitch2::1, string, 80045061756C
character::poskitch2::2, string, 80054B6F756261
character::poskitch::1, string, 80044A6F686E
character::poskitch::2, string, 80075374616C6C6579
character::spas13::1, string, 8004546F6E79
character::spas13::2, string, 80054861776B73
character.lastchanged::kevinetlucas, date, 810974696D657374616D700400000177E9E580AF
character.lastchanged::poskitch2, date, 810974696D657374616D700400000177EA0DCC2B
character.lastchanged::poskitch, date, 810974696D657374616D700400000177E9DCC587
character.lastchanged::spas13, date, 810974696D657374616D700400000177E9E7123E
doors.temp::poskitch, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809402D000000000000017909401E000000000000017A09406E3000000000000570697463680800000000037961770800000000
job::poskitch, long, 0000000000000000
jobplayers::0, long, 0000000000000001
jobplayers::1, long, 0000000000000000
jobplayers::2, long, 0000000000000000
jobplayers::3, long, 0000000000000000
mnmissions::all::1, string, 80096E6574746F79616765
mnmissions::all::2, string, 800570616E6E65
mnmissions::nettoyage::1, location, 8605776F726C6480FF0000000181046E616D652080076265656C69666501780940613000000000000179094012000000000000017A0940667000000000000570697463680800000000037961770800000000
mnmissions::panne::1, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809406B7000000000000179094031800000000000017A0940751800000000000570697463680800000000037961770800000000
online, integer, 00000001
scoreboard.namestage, long, 0000000000000007
scoreboard.self.5a1dbef7-ca9d-34a6-a544-26cd759ceef7, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809404BC000000000000179094016000000000000017A094071A800000000000570697463680800000000037961770800000000
wallet::kevinetlucas, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809404BC000000000000179094016000000000000017A094071A800000000000570697463680800000000037961770800000000
wallet::poskitch2, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809404BC000000000000179094016000000000000017A094071A800000000000570697463680800000000037961770800000000
wallet::poskitch, double, 40C4820000000000
wallet::spas13, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809404BC000000000000179094016000000000000017A094071A800000000000570697463680800000000037961770800000000
weed::gui::poskitch, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809404BC000000000000179094016000000000000017A094071A800000000000570697463680800000000037961770800000000

